structure_id,conf_symbol,mixing_energy_pa,Ti,Al,Nb
ICET-Training-No-12699,Al4Ti2,-0.26259143333333296,0.3333,0.6667,0.0
ICET-Training-No-12700,Al4NbTi,-0.2475655666666666,0.1667,0.6667,0.1667
ICET-Training-No-12703,Al4Nb2,-0.22395535500000108,0.0,0.6667,0.3333
ICET-Training-No-12709,Al4Ti2,-0.22909331333333327,0.3333,0.6667,0.0
ICET-Training-No-12710,Al4NbTi,-0.1615964450000007,0.1667,0.6667,0.1667
ICET-Training-No-12713,Al3Ti3,-0.3662929150000001,0.5,0.5,0.0
ICET-Training-No-12714,Al3NbTi2,-0.29697934333333365,0.3333,0.5,0.1667
ICET-Training-No-12717,Al3NbTi2,-0.35310469666666694,0.3333,0.5,0.1667
ICET-Training-No-12718,Al3Nb2Ti,-0.28142068499999934,0.1667,0.5,0.3333
ICET-Training-No-12729,Al4Nb2,-0.09070909166666752,0.0,0.6667,0.3333
ICET-Training-No-12732,Al3Nb2Ti,-0.22864589333333285,0.1667,0.5,0.3333
ICET-Training-No-12735,Al3Nb3,-0.19154497666666734,0.0,0.5,0.5
ICET-Training-No-12759,Al4NbTi,-0.3297207499999999,0.1667,0.6667,0.1667
ICET-Training-No-12762,Al3Ti3,-0.2968194599999994,0.5,0.5,0.0
ICET-Training-No-12763,Al3NbTi2,-0.31444772333333404,0.3333,0.5,0.1667
ICET-Training-No-12766,Al3NbTi2,-0.24688279500000002,0.3333,0.5,0.1667
ICET-Training-No-12767,Al3Nb2Ti,-0.26282005999999924,0.1667,0.5,0.3333
ICET-Training-No-12778,Al3NbTi2,-0.31448993833333344,0.3333,0.5,0.1667
ICET-Training-No-12781,Al2Ti4,-0.22265900000000016,0.6667,0.3333,0.0
ICET-Training-No-12782,Al2NbTi3,-0.4099604100000012,0.5,0.3333,0.1667
ICET-Training-No-12785,Al2NbTi3,-0.22024954166666788,0.5,0.3333,0.1667
ICET-Training-No-12786,Al2Nb2Ti2,-0.18186529833333273,0.3333,0.3333,0.3333
ICET-Training-No-12797,Al3Nb2Ti,-0.18508623333333318,0.1667,0.5,0.3333
ICET-Training-No-12800,Al2Nb2Ti2,-0.1731034099999995,0.3333,0.3333,0.3333
ICET-Training-No-12803,Al2Nb2Ti2,-0.1844253516666671,0.3333,0.3333,0.3333
ICET-Training-No-12804,Al2Nb3Ti,-0.13816272500000082,0.1667,0.3333,0.5
ICET-Training-No-12850,Al3Nb2Ti,-0.25231163166666687,0.1667,0.5,0.3333
ICET-Training-No-12853,Al3Nb3,-0.20004892499999963,0.0,0.5,0.5
ICET-Training-No-12864,Al2Nb2Ti2,-0.15777568499999953,0.3333,0.3333,0.3333
ICET-Training-No-12867,Al2Nb3Ti,-0.1335175400000009,0.1667,0.3333,0.5
ICET-Training-No-12880,Al2Nb4,-0.09715761333333361,0.0,0.3333,0.6667
ICET-Training-No-12968,Al2Ti4,-0.4126843683333341,0.6667,0.3333,0.0
ICET-Training-No-12969,Al2NbTi3,-0.3665231383333338,0.5,0.3333,0.1667
ICET-Training-No-12972,Al2NbTi3,-0.40994858666666784,0.5,0.3333,0.1667
ICET-Training-No-12973,Al2Nb2Ti2,-0.3612887583333328,0.3333,0.3333,0.3333
ICET-Training-No-12987,Al2Nb2Ti2,-0.3220234583333337,0.3333,0.3333,0.3333
ICET-Training-No-12990,Al2Nb3Ti,-0.2903168083333334,0.1667,0.3333,0.5
ICET-Training-No-13014,Al2NbTi3,-0.25755527666666705,0.5,0.3333,0.1667
ICET-Training-No-13017,Al2Nb2Ti2,-0.21746432333333368,0.3333,0.3333,0.3333
ICET-Training-No-13023,Al2NbTi3,-0.4100393016666679,0.5,0.3333,0.1667
ICET-Training-No-13026,AlTi5,-0.18430446666666592,0.8333,0.1667,0.0
ICET-Training-No-13030,AlNbTi4,-0.1673542449999997,0.6667,0.1667,0.1667
ICET-Training-No-13031,AlNb2Ti3,-0.1496108066666674,0.5,0.1667,0.3333
ICET-Training-No-13042,Al2Nb2Ti2,-0.36130606000000043,0.3333,0.3333,0.3333
ICET-Training-No-13045,AlNbTi4,-0.1635064100000001,0.6667,0.1667,0.1667
ICET-Training-No-13046,AlNb2Ti3,-0.11148235000000047,0.5,0.1667,0.3333
ICET-Training-No-13049,AlNb2Ti3,-0.1802395533333332,0.5,0.1667,0.3333
ICET-Training-No-13050,AlNb3Ti2,-0.11558848666666559,0.3333,0.1667,0.5
