x,y,gamma
0.7,0.36667,0.02165
0.73333,0.36667,0.02193
0.76667,0.36667,0.02208
0.8,0.36667,0.02213
0.83333,0.36667,0.02213
0.86667,0.36667,0.02208
0.9,0.36667,0.02193
0.93333,0.36667,0.02165
0.96667,0.36667,0.02115
0.0,0.4,0.02129
0.03333,0.4,0.01993
0.06667,0.4,0.01838
0.1,0.4,0.01671
0.13333,0.4,0.01488
0.16667,0.4,0.01288
0.2,0.4,0.01104
0.23333,0.4,0.00966
0.26667,0.4,0.00884
0.3,0.4,0.00858
0.33333,0.4,0.00884
0.36667,0.4,0.00966
0.4,0.4,0.01104
0.43333,0.4,0.01288
0.46667,0.4,0.01488
0.5,0.4,0.01671
0.53333,0.4,0.01838
0.56667,0.4,0.01993
0.6,0.4,0.02129
0.63333,0.4,0.02237
0.66667,0.4,0.02315
0.7,0.4,0.02367
0.73333,0.4,0.02398
0.76667,0.4,0.02414
0.8,0.4,0.02419
0.83333,0.4,0.02414
0.86667,0.4,0.02398
0.9,0.4,0.02367
0.93333,0.4,0.02315
0.96667,0.4,0.02237
0.0,0.43333,0.02185
0.03333,0.43333,0.02028
0.06667,0.43333,0.01859
0.1,0.43333,0.01683
0.13333,0.43333,0.01489
0.16667,0.43333,0.01288
0.2,0.43333,0.0112
0.23333,0.43333,0.01004
0.26667,0.43333,0.00945
0.3,0.43333,0.00945
0.33333,0.43333,0.01004
0.36667,0.43333,0.0112
0.4,0.43333,0.01288
0.43333,0.43333,0.01489
0.46667,0.43333,0.01683
0.5,0.43333,0.01859
0.53333,0.43333,0.02028
0.56667,0.43333,0.02185
0.6,0.43333,0.02318
0.63333,0.43333,0.0242
0.66667,0.43333,0.02494
0.7,0.43333,0.02543
0.73333,0.43333,0.02572
0.76667,0.43333,0.02585
0.8,0.43333,0.02585
0.83333,0.43333,0.02572
0.86667,0.43333,0.02543
0.9,0.43333,0.02494
0.93333,0.43333,0.0242
0.96667,0.43333,0.02318
0.0,0.46667,0.02215
0.03333,0.46667,0.02043
0.06667,0.46667,0.01864
0.1,0.46667,0.01683
0.13333,0.46667,0.01488
0.16667,0.46667,0.01305
0.2,0.46667,0.01163
0.23333,0.46667,0.01074
0.26667,0.46667,0.01043
0.3,0.46667,0.01074
0.33333,0.46667,0.01163
0.36667,0.46667,0.01305
0.4,0.46667,0.01488
0.43333,0.46667,0.01683
0.46667,0.46667,0.01864
0.5,0.46667,0.02043
0.53333,0.46667,0.02215
0.56667,0.46667,0.02366
0.6,0.46667,0.02488
0.63333,0.46667,0.0258
0.66667,0.46667,0.02645
0.7,0.46667,0.02686
0.73333,0.46667,0.02708
0.76667,0.46667,0.02715
0.8,0.46667,0.02708
0.83333,0.46667,0.02686
0.86667,0.46667,0.02645
0.9,0.46667,0.0258
0.93333,0.46667,0.02488
0.96667,0.46667,0.02366
0.0,0.5,0.02224
0.03333,0.5,0.02043
0.06667,0.5,0.01859
0.1,0.5,0.01671
0.13333,0.5,0.01484
0.16667,0.5,0.01329
0.2,0.5,0.0122
0.23333,0.5,0.01164
0.26667,0.5,0.01164
0.3,0.5,0.0122
0.33333,0.5,0.01329
0.36667,0.5,0.01484
0.4,0.5,0.01671
0.43333,0.5,0.01859
0.46667,0.5,0.02043
0.5,0.5,0.02224
0.53333,0.5,0.02388
0.56667,0.5,0.02525
0.6,0.5,0.02632
0.63333,0.5,0.02709
0.66667,0.5,0.0276
0.7,0.5,0.02791
0.73333,0.5,0.02805
0.76667,0.5,0.02805
0.8,0.5,0.02791
0.83333,0.5,0.0276
0.86667,0.5,0.02709
0.9,0.5,0.02632
0.93333,0.5,0.02525
0.96667,0.5,0.02388
0.0,0.53333,0.02215
0.03333,0.53333,0.02028
0.06667,0.53333,0.01838
0.1,0.53333,0.01646
0.13333,0.53333,0.01477
0.16667,0.53333,0.01352
0.2,0.53333,0.01278
0.23333,0.53333,0.01253
0.26667,0.53333,0.01278
0.3,0.53333,0.01352
0.33333,0.53333,0.01477
0.36667,0.53333,0.01646
0.4,0.53333,0.01838
0.43333,0.53333,0.02028
0.46667,0.53333,0.02215
0.5,0.53333,0.02388
0.53333,0.53333,0.02537
0.56667,0.53333,0.02656
0.6,0.53333,0.02744
0.63333,0.53333,0.02804
0.66667,0.53333,0.02841
0.7,0.53333,0.02861
0.73333,0.53333,0.02866
0.76667,0.53333,0.02861
0.8,0.53333,0.02841
0.83333,0.53333,0.02804
0.86667,0.53333,0.02744
0.9,0.53333,0.02656
0.93333,0.53333,0.02537
0.96667,0.53333,0.02388
0.0,0.56667,0.02185
0.03333,0.56667,0.01993
0.06667,0.56667,0.01794
0.1,0.56667,0.01608
0.13333,0.56667,0.01464
0.16667,0.56667,0.01372
0.2,0.56667,0.0133
0.23333,0.56667,0.0133
0.26667,0.56667,0.01372
0.3,0.56667,0.01464
0.33333,0.56667,0.01608
0.36667,0.56667,0.01794
0.4,0.56667,0.01993
0.43333,0.56667,0.02185
0.46667,0.56667,0.02366
0.5,0.56667,0.02525
0.53333,0.56667,0.02656
0.56667,0.56667,0.02755
0.6,0.56667,0.02824
0.63333,0.56667,0.02868
0.66667,0.56667,0.02892
0.7,0.56667,0.02903
0.73333,0.56667,0.02903
0.76667,0.56667,0.02892
0.8,0.56667,0.02868
0.83333,0.56667,0.02824
0.86667,0.56667,0.02755
0.9,0.56667,0.02656
0.93333,0.56667,0.02525
0.96667,0.56667,0.02366
0.0,0.6,0.02129
0.03333,0.6,0.01927
0.06667,0.6,0.01723
0.1,0.6,0.01555
0.13333,0.6,0.01442
0.16667,0.6,0.01383
0.2,0.6,0.01365
0.23333,0.6,0.01383
0.26667,0.6,0.01442
0.3,0.6,0.01555
0.33333,0.6,0.01723
0.36667,0.6,0.01927
0.4,0.6,0.02129
0.43333,0.6,0.02318
0.46667,0.6,0.02488
0.5,0.6,0.02632
0.53333,0.6,0.02744
0.56667,0.6,0.02824
0.6,0.6,0.02876
0.63333,0.6,0.02906
0.66667,0.6,0.02921
0.7,0.6,0.02926
0.73333,0.6,0.02921
0.76667,0.6,0.02906
0.8,0.6,0.02876
0.83333,0.6,0.02824
0.86667,0.6,0.02744
0.9,0.6,0.02632
0.93333,0.6,0.02488
0.96667,0.6,0.02318
0.0,0.63333,0.02036
0.03333,0.63333,0.0182
0.06667,0.63333,0.01625
0.1,0.63333,0.01485
0.13333,0.63333,0.01404
0.16667,0.63333,0.0137
0.2,0.63333,0.0137
0.23333,0.63333,0.01404
0.26667,0.63333,0.01485
0.3,0.63333,0.01625
0.33333,0.63333,0.0182
0.36667,0.63333,0.02036
0.4,0.63333,0.02237
0.43333,0.63333,0.0242
0.46667,0.63333,0.0258
0.5,0.63333,0.02709
0.53333,0.63333,0.02804
0.56667,0.63333,0.02868
0.6,0.63333,0.02906
0.63333,0.63333,0.02927
0.66667,0.63333,0.02936
0.7,0.63333,0.02936
0.73333,0.63333,0.02927
0.76667,0.63333,0.02906
0.8,0.63333,0.02868
0.83333,0.63333,0.02804
0.86667,0.63333,0.02709
0.9,0.63333,0.0258
0.93333,0.63333,0.0242
0.96667,0.63333,0.02237
0.0,0.66667,0.01896
0.03333,0.66667,0.01677
0.06667,0.66667,0.01503
0.1,0.66667,0.01394
0.13333,0.66667,0.01339
0.16667,0.66667,0.01322
0.2,0.66667,0.01339
0.23333,0.66667,0.01394
0.26667,0.66667,0.01503
0.3,0.66667,0.01677
0.33333,0.66667,0.01896
0.36667,0.66667,0.02115
0.4,0.66667,0.02315
0.43333,0.66667,0.02494
0.46667,0.66667,0.02645
0.5,0.66667,0.0276
0.53333,0.66667,0.02841
0.56667,0.66667,0.02892
0.6,0.66667,0.02921
0.63333,0.66667,0.02936
0.66667,0.66667,0.0294
0.7,0.66667,0.02936
0.73333,0.66667,0.02921
0.76667,0.66667,0.02892
0.8,0.66667,0.02841
0.83333,0.66667,0.0276
0.86667,0.66667,0.02645
0.9,0.66667,0.02494
0.93333,0.66667,0.02315
0.96667,0.66667,0.02115
0.0,0.7,0.01713
0.03333,0.7,0.01507
0.06667,0.7,0.0136
0.1,0.7,0.01274
0.13333,0.7,0.01237
0.16667,0.7,0.01237
0.2,0.7,0.01274
0.23333,0.7,0.0136
0.26667,0.7,0.01507
0.3,0.7,0.01713
0.33333,0.7,0.01945
0.36667,0.7,0.02165
0.4,0.7,0.02367
0.43333,0.7,0.02543
0.46667,0.7,0.02686
0.5,0.7,0.02791
